user,date,post
avskk,"November 5, 2018 3:51PM","['seltzermint555', 'wrote', 'birthday', 'ate', 'thing', 'ok', 'breakfast', '8', 'oz', 'peach', 'noosa', 'yogurt', 'usually', 'eat', 'half', 'black', 'coffee', 'lunch', 'bento', 'box', 'japanese', 'restaurant', 'sushi', 'tempura', 'vegetable', '1', 'cup', 'sake', 'midafternoon', 'starbucks', 'venti', 'iced', 'americano', 'extra', 'shot', 'espresso', 'dinner', 'bowl', 'french', 'onion', 'soup', '12', 'toasted', 'chicken', 'salad', 'sandwich', 'another', 'restaurant', 'creamy', 'buttery', 'nightmare', 'caloriewise', 'sure', 'dessert', 'big', 'slice', 'huge', 'chocolate', 'chip', 'cookie', 'husband', 'made', 'roastaroma', 'tea', 'type', 'nt', 'sound', 'nearly', 'crazy', 'felt', 'happy', 'birthday', 'sound', 'like', 'delicious', 'fun', 'day']"
janejellyroll,"November 5, 2018 4:02PM","['breakfast', 'chickpea', 'soup', 'rice', 'kale', 'creamed', 'spinach', 'lunch', 'chickpea', 'soup', 'rice', 'kale', 'made', 'way', 'much', 'clif', 'nut', 'butter', 'bar', 'dinner', 'potato', 'onion', 'miso', 'soup', 'salad', 'radish', 'fennel', 'carrot', 'soyrice', 'vinegar', 'dressing', 'snack', 'trail', 'mix', 'coffee', 'cashew', 'milk']"
avskk,"November 5, 2018 4:48PM","['breakfast', 'cranberry', 'muffin', 'little', 'yogurt', 'butter', 'cottage', 'cheese', 'coffee', 'lunch', 'kind', 'torn', 'think', 'half', 'tomato', 'sandwich', 'greenchili', 'sourdough', 'small', 'serving', 'leftover', 'spanish', 'rice', 'chickpea', 'artichoke', 'ca', 'nt', 'seem', 'choose', 'one', 'dinner', 'meatloaf', 'garlic', 'mashed', 'potato', 'green', 'bean']"
seltzermint555,"November 5, 2018 8:06PM","['avskk', 'wrote', 'seltzermint555', 'wrote', 'birthday', 'ate', 'thing', 'ok', 'breakfast', '8', 'oz', 'peach', 'noosa', 'yogurt', 'usually', 'eat', 'half', 'black', 'coffee', 'lunch', 'bento', 'box', 'japanese', 'restaurant', 'sushi', 'tempura', 'vegetable', '1', 'cup', 'sake', 'midafternoon', 'starbucks', 'venti', 'iced', 'americano', 'extra', 'shot', 'espresso', 'dinner', 'bowl', 'french', 'onion', 'soup', '12', 'toasted', 'chicken', 'salad', 'sandwich', 'another', 'restaurant', 'creamy', 'buttery', 'nightmare', 'caloriewise', 'sure', 'dessert', 'big', 'slice', 'huge', 'chocolate', 'chip', 'cookie', 'husband', 'made', 'roastaroma', 'tea', 'type', 'nt', 'sound', 'nearly', 'crazy', 'felt', 'happy', 'birthday', 'sound', 'like', 'delicious', 'fun', 'day', 'thank']"
amy19355,"November 5, 2018 8:59PM","['big', 'bowl', 'lunch', 'today', 'combined', '12', 'cup', 'brown', 'rice', '1', 'cup', 'sweet', 'potato', '1', 'cup', 'edamame', 'soy', 'sauce', 'taste', 'took', 'forever', 'eat', 'reheat', 'twice', 'finished', 'dang', 'tasty', 'filling']"
Evamutt,"November 5, 2018 9:05PM","['breakfast', 'usual', 'brunch', '110', 'calorie', 'english', 'muffin', '5g', 'butter', '8', 'tbl', 'egg', 'maker', '5oz', 'cheddar', 'cheese', '30g', 'ham', 'snack', 'today', 'delicious', 'boiled', 'pinto', 'bean', 'lot', 'garlic', '5oz', 'cheddar', 'cheese', 'husband', 'made', 'snack', 'home', 'made', 'smoothie', 'non', 'fat', 'plain', 'greek', 'yogurt', 'frozen', 'fruit', 'spinach', 'kale', 'cashew', 'milk', 'dinner', 'baked', 'turkey', 'breast', 'fresh', 'cooked', 'green', 'bean', 'pinto', 'bean']"
seltzermint555,"November 10, 2018 12:46AM","['breakfast', 'fried', 'egg', 'open', 'faced', 'sandwich', 'wheat', 'toast', 'mayo', 'pickle', 'unsweetened', 'tea', 'lunch', 'leftover', 'meatloaf', 'green', 'bean', 'cauliflower', 'piece', 'chocolate', 'covered', 'ginger', 'dinner', 'pasta', 'bake', 'tvp', 'zucchini', 'provolone', 'top', 'side', 'salad', 'lettuce', 'spinach', 'carrot', 'green', 'onion', 'bit', 'ranch', 'dressing']"
avskk,"November 13, 2018 4:32PM","['killer', 'breakfast', 'morning', 'cubed', 'quickfried', 'leftover', 'baked', 'potato', 'little', 'yogurt', 'butter', 'various', 'spice', 'fried', 'couple', 'egg', 'overmedium', 'put', 'top', 'basically', 'achieved', 'enlightenment', 'rarely', 'time', 'really', 'cook', 'breakfast', 'super', 'nice', 'random', 'tuesday']"
MelanieCN77,"November 13, 2018 4:48PM","['hoarding', 'calorie', 'dessertafter', 'dinner', 'snack', 'since', 'started', 'try', 'even', 'find', 'fullness', 'end', 'day', 'comforting', 'cooling', 'halo', 'top', 'cooky', 'combo', 'turned', 'something', 'different', 'sliced', 'honeycrisp', 'apple', 'couple', 'chunk', 'parmesan', 'couple', 'walnut', 'serving', 'tj', 'multigrain', 'cracker', 'ugh', 'good']"
lalee115,"November 13, 2018 4:58PM","['breakfast', 'cup', 'hot', 'cocoa', 'snack', '1', 'half', 'peanut', 'butter', 'sandwich', 'cup', 'hot', 'cocoa', 'getting', 'funky', 'virus', 'feel', 'good', 'lunch', 'big', 'salad', 'apple', 'snack', '2', 'chocolate', 'waffle', 'peanut', 'butter', 'dinner', 'sure', 'yet', 'possibly', 'either', 'buffalo', 'chicken', 'smoked', 'sausage', 'cabbage', 'potato']"
