user,date,post
seltzermint555,"May 15, 2019 2:22PM","['breakfast', 'hard', 'boiled', 'egg', 'toaster', 'waffle', 'sugar', 'free', 'syrup', 'coffee', 'lunch', 'leftover', 'pineapple', 'fried', 'rice', 'edamame', 'dinner', 'black', 'bean', 'salsa', 'sour', 'cream', 'sauted', 'pepper', 'onion', 'lowsugar', 'rhubarb', 'tart', 'whipped', 'topping']"
tmpecus78,"May 15, 2019 2:26PM","['today', 'meal', 'consist', '6', 'whole', 'egg', 'cooked', 'grass', 'fed', 'butter', '10oz', 'grass', 'fed', 'beef', '2oz', 'cheese', 'followed', 'bowl', 'homemade', 'chocolate', 'keto', 'ice', 'cream', 'topped', 'peanut', 'butter']"
NewLIFEstyle4ME,"May 15, 2019 5:32PM","['breakfast', 'avocalado', 'smoothie', 'avocado', 'big', 'hand', 'full', 'baby', 'spinach', 'kale', 'frozen', 'mango', 'chunk', 'frozen', 'pineapple', 'chunk', 'frozen', 'blueberry', 'blueberry', 'kefir', 'dole', 'pina', 'colada', 'juice', 'lunch', '2', 'roasted', 'dandelion', 'root', 'tea', '1', 'milk', 'oolong', 'tea', 'dinner', '2', 'thin', 'smothered', 'pork', 'chop', 'rice', 'gravy', 'lightly', 'sauteed', 'baby', 'spinach', 'steamed', 'broccoli', 'water', 'drink', 'dessert', 'andor', 'late', 'night', 'snack', 'cup', 'mint', 'chocolate', 'ice', 'cream', '2', 'orange']"
NewLIFEstyle4ME,"May 16, 2019 6:41PM","['breakfast', '1', 'cup', 'roasted', 'dandelion', 'root', 'tea', '1', 'cup', 'milk', 'oolong', 'tea', '1', 'cup', 'emperor', 'puh', 'erh', 'tea', 'lunch', 'grilled', 'cheese', 'honey', 'turkey', 'black', 'forest', 'ham', 'sandwich', 'tomato', 'bisque', 'soup', '2oz', 'tj', '100', 'cherry', 'juice', 'dinner', 'tunaegg', 'salad', 'ritz', 'cracker', 'red', 'black', 'green', 'grape', 'water', 'drink', 'dessert', 'andor', 'late', 'night', 'snack', 'green', 'olive', 'stuffed', 'garlic', 'black', 'olive', 'maybe', 'cup', 'chocolate', 'ice', 'cream']"
seltzermint555,"May 16, 2019 6:56PM","['breakfast', 'boiled', 'egg', '12', 'avocado', '2', 'oz', 'raspberry', 'coffee', 'lunch', 'tuna', 'melt', 'lot', 'onion', 'large', 'serving', 'broccoli', 'gala', 'apple', 'dinner', 'homemade', 'pizza', 'thin', 'wheat', 'crust', 'pepper', 'mushroom', 'onion', 'light', 'sauce', 'provolone', 'cheese', '1', 'slice', 'lowsugar', 'rhubarb', 'tart', 'cup', 'green', 'jasmine', 'tea']"
NewLIFEstyle4ME,"May 17, 2019 3:39PM","['breakfast', '2', 'cup', 'emperor', 'pu', 'erh', 'tea', '1', 'cup', 'white', 'rose', 'tea', 'lunch', '1', 'cup', 'roasted', 'garlic', 'tea', '1', 'cup', 'ashwaganda', 'tea', 'dinner', 'large', 'lamb', 'gyro', 'red', 'onion', 'chopped', 'seasoned', 'tomato', 'loaded', 'tzatziki', 'sauce', 'french', 'fry', '7up', 'dessert', 'andor', 'late', 'night', 'snack', 'amigthalota', 'greek', 'almond', 'biscuit', 'black', 'green', 'olive']"
seltzermint555,"May 18, 2019 4:31PM","['yesterday', 'breakfast', 'orangeflavored', 'greek', 'yogurt', 'coffee', 'lunch', '2', 'small', 'quesadilla', 'made', 'corn', 'tortilla', 'spinach', 'mushroom', 'onion', 'cheddar', 'smoothie', 'almond', 'milk', 'ice', '1', 'banana', 'fresh', 'pineapple', 'hemp', 'protein', 'powder', 'dinner', '3', 'slice', 'medium', 'pepperoni', 'pepper', 'black', 'olive', 'deep', 'dish', 'pizza', 'domino', 'today', 'breakfast', '2', 'slice', 'toast', 'one', 'lemon', 'curd', 'one', '12', 'smashed', 'avocado', '1', 'fried', 'egg', 'coffee', 'post5k', 'lunch', 'regular', 'order', 'cashew', 'chicken', 'sauce', 'side', 'rice', 'steamed', 'broccoli', '1', 'crab', 'rangoon', 'dinner', 'huge', 'salad', 'red', 'leaf', 'lettuce', 'kale', 'arugula', 'flake', 'crab', 'meat', 'green', 'onion', 'diced', 'tomato', 'thai', 'chili', 'sauce', 'dressing', 'probably', 'enjoy', '12', 'almond', 'chocolate', 'bar', 'afterward']"
NewLIFEstyle4ME,"May 18, 2019 8:18PM","['breakfast', '1', 'cup', 'emperor', 'puh', 'erh', 'tea', '1', 'cup', 'white', 'rose', 'tea', 'lunch', 'avocalado', 'smoothie', 'avocado', 'big', 'hand', 'full', 'baby', 'spinach', 'kale', 'frozen', 'mango', 'chunk', 'frozen', 'pineapple', 'chunk', 'frozen', 'blueberry', 'blueberry', 'kefir', 'dole', 'pina', 'colada', 'juice', 'dinner', 'bbq', 'spare', 'rib', 'potato', 'salad', 'devilled', 'egg', 'collard', 'greenscabbage', 'mix', 'sweet', 'ice', 'tea', 'drink', 'dessert', 'andor', 'late', 'night', 'snack', 'slice', 'plain', 'cheesecake', 'wfresh', 'blueberry', 'strawberry', 'blackberry', 'top']"
NewLIFEstyle4ME,"May 19, 2019 5:25PM","['breakfast', 'cup', 'dandelion', 'root', 'tea', 'cup', 'milk', 'oolong', 'tea', 'lunch', 'avocado', 'caesar', 'salad', 'baked', 'potato', 'loaded', 'buttercheesebaconsour', 'cream', 'ribeyed', 'steak', 'well', 'done', 'garlic', 'baby', 'bok', 'choy', 'ice', 'water', 'drink', 'dinner', 'cup', 'roasted', 'garlic', 'tea', 'cup', 'emperor', 'pu', 'erh', 'tea', 'dessert', 'andor', 'late', 'night', 'snack', 'slice', 'plain', 'cheesecake', 'wfresh', 'blueberry', 'strawberry', 'blackberry']"
Losingweightforgood2019,"May 19, 2019 6:31PM","['keto', 'mozzeralla', 'garlic', 'stick']"
