user,date,post,Calories
seltzermint555,"May 15, 2019 2:22PM","['breakfast', 'hard', 'boiled', 'egg', 'toaster', 'waffle', 'sugar', 'free', 'syrup', 'coffee', 'lunch', 'leftover', 'pineapple', 'fried', 'rice', 'edamame', 'dinner', 'black', 'bean', 'salsa', 'sour', 'cream', 'sauted', 'pepper', 'onion', 'lowsugar', 'rhubarb', 'tart', 'whipped', 'topping']","[71.5, 218.25, 16.25, 219.95, 2.37, 205.4, 224.79, 5.77, 41.36]"
tmpecus78,"May 15, 2019 2:26PM","['today', 'meal', 'consist', '6', 'whole', 'egg', 'cooked', 'grass', 'fed', 'butter', '10oz', 'grass', 'fed', 'beef', '2oz', 'cheese', 'followed', 'bowl', 'homemade', 'chocolate', 'keto', 'ice', 'cream', 'topped', 'peanut', 'butter']","[71.5, 101.81, 247.35, 113.12, 37.45, 5.87, 101.81]"
NewLIFEstyle4ME,"May 15, 2019 5:32PM","['breakfast', 'avocalado', 'smoothie', 'avocado', 'big', 'hand', 'full', 'baby', 'spinach', 'kale', 'frozen', 'mango', 'chunk', 'frozen', 'pineapple', 'chunk', 'frozen', 'blueberry', 'blueberry', 'kefir', 'dole', 'pina', 'colada', 'juice', 'lunch', '2', 'roasted', 'dandelion', 'root', 'tea', '1', 'milk', 'oolong', 'tea', 'dinner', '2', 'thin', 'smothered', 'pork', 'chop', 'rice', 'gravy', 'lightly', 'sauteed', 'baby', 'spinach', 'steamed', 'broccoli', 'water', 'drink', 'dessert', 'andor', 'late', 'night', 'snack', 'cup', 'mint', 'chocolate', 'ice', 'cream', '2', 'orange']","[321.6, 41.4, 36.4, 0.78, 0.78, 124.95, 202.3, 205.4, 41.4, 12.95, 37.45, 68.6]"
NewLIFEstyle4ME,"May 16, 2019 6:41PM","['breakfast', '1', 'cup', 'roasted', 'dandelion', 'root', 'tea', '1', 'cup', 'milk', 'oolong', 'tea', '1', 'cup', 'emperor', 'puh', 'erh', 'tea', 'lunch', 'grilled', 'cheese', 'honey', 'turkey', 'black', 'forest', 'ham', 'sandwich', 'tomato', 'bisque', 'soup', '2oz', 'tj', '100', 'cherry', 'juice', 'dinner', 'tunaegg', 'salad', 'ritz', 'cracker', 'red', 'black', 'green', 'grape', 'water', 'drink', 'dessert', 'andor', 'late', 'night', 'snack', 'green', 'olive', 'stuffed', 'garlic', 'black', 'olive', 'maybe', 'cup', 'chocolate', 'ice', 'cream']","[124.95, 113.12, 214.33, 186.26, 22.14, 62, 19.98, 20.4, 33.81, 4.47, 37.45]"
seltzermint555,"May 16, 2019 6:56PM","['breakfast', 'boiled', 'egg', '12', 'avocado', '2', 'oz', 'raspberry', 'coffee', 'lunch', 'tuna', 'melt', 'lot', 'onion', 'large', 'serving', 'broccoli', 'gala', 'apple', 'dinner', 'homemade', 'pizza', 'thin', 'wheat', 'crust', 'pepper', 'mushroom', 'onion', 'light', 'sauce', 'provolone', 'cheese', '1', 'slice', 'lowsugar', 'rhubarb', 'tart', 'cup', 'green', 'jasmine', 'tea']","[71.5, 321.6, 1.04, 2.37, 41.36, 12.95, 94.64, 5.77, 41.36, 113.12]"
NewLIFEstyle4ME,"May 17, 2019 3:39PM","['breakfast', '2', 'cup', 'emperor', 'pu', 'erh', 'tea', '1', 'cup', 'white', 'rose', 'tea', 'lunch', '1', 'cup', 'roasted', 'garlic', 'tea', '1', 'cup', 'ashwaganda', 'tea', 'dinner', 'large', 'lamb', 'gyro', 'red', 'onion', 'chopped', 'seasoned', 'tomato', 'loaded', 'tzatziki', 'sauce', 'french', 'fry', '7up', 'dessert', 'andor', 'late', 'night', 'snack', 'amigthalota', 'greek', 'almond', 'biscuit', 'black', 'green', 'olive']","[4.47, 249.9, 41.36, 22.14]"
seltzermint555,"May 18, 2019 4:31PM","['yesterday', 'breakfast', 'orangeflavored', 'greek', 'yogurt', 'coffee', 'lunch', '2', 'small', 'quesadilla', 'made', 'corn', 'tortilla', 'spinach', 'mushroom', 'onion', 'cheddar', 'smoothie', 'almond', 'milk', 'ice', '1', 'banana', 'fresh', 'pineapple', 'hemp', 'protein', 'powder', 'dinner', '3', 'slice', 'medium', 'pepperoni', 'pepper', 'black', 'olive', 'deep', 'dish', 'pizza', 'domino', 'today', 'breakfast', '2', 'slice', 'toast', 'one', 'lemon', 'curd', 'one', '12', 'smashed', 'avocado', '1', 'fried', 'egg', 'coffee', 'post5k', 'lunch', 'regular', 'order', 'cashew', 'chicken', 'sauce', 'side', 'rice', 'steamed', 'broccoli', '1', 'crab', 'rangoon', 'dinner', 'huge', 'salad', 'red', 'leaf', 'lettuce', 'kale', 'arugula', 'flake', 'crab', 'meat', 'green', 'onion', 'diced', 'tomato', 'thai', 'chili', 'sauce', 'dressing', 'probably', 'enjoy', '12', 'almond', 'chocolate', 'bar', 'afterward']","[2.37, 159.25, 41.4, 41.36, 114.53, 124.95, 105.02, 5.77, 321.6, 71.5, 2.37, 9.01, 187, 205.4, 12.95, 19.98, 15.98, 36.4, 41.36, 22.14, 37.45]"
NewLIFEstyle4ME,"May 18, 2019 8:18PM","['breakfast', '1', 'cup', 'emperor', 'puh', 'erh', 'tea', '1', 'cup', 'white', 'rose', 'tea', 'lunch', 'avocalado', 'smoothie', 'avocado', 'big', 'hand', 'full', 'baby', 'spinach', 'kale', 'frozen', 'mango', 'chunk', 'frozen', 'pineapple', 'chunk', 'frozen', 'blueberry', 'blueberry', 'kefir', 'dole', 'pina', 'colada', 'juice', 'dinner', 'bbq', 'spare', 'rib', 'potato', 'salad', 'devilled', 'egg', 'collard', 'greenscabbage', 'mix', 'sweet', 'ice', 'tea', 'drink', 'dessert', 'andor', 'late', 'night', 'snack', 'slice', 'plain', 'cheesecake', 'wfresh', 'blueberry', 'strawberry', 'blackberry', 'top']","[321.6, 41.4, 36.4, 0.78, 0.78, 19.98, 71.5, 0.78, 28.8]"
NewLIFEstyle4ME,"May 19, 2019 5:25PM","['breakfast', 'cup', 'dandelion', 'root', 'tea', 'cup', 'milk', 'oolong', 'tea', 'lunch', 'avocado', 'caesar', 'salad', 'baked', 'potato', 'loaded', 'buttercheesebaconsour', 'cream', 'ribeyed', 'steak', 'well', 'done', 'garlic', 'baby', 'bok', 'choy', 'ice', 'water', 'drink', 'dinner', 'cup', 'roasted', 'garlic', 'tea', 'cup', 'emperor', 'pu', 'erh', 'tea', 'dessert', 'andor', 'late', 'night', 'snack', 'slice', 'plain', 'cheesecake', 'wfresh', 'blueberry', 'strawberry', 'blackberry']","[124.95, 321.6, 19.98, 4.47, 4.47, 0.78, 28.8]"
Losingweightforgood2019,"May 19, 2019 6:31PM","['keto', 'mozzeralla', 'garlic', 'stick']",[4.47]
NewLIFEstyle4ME,"May 19, 2019 6:40PM","['losingweightforgood2012', 'wrote', 'keto', 'mozzeralla', 'garlic', 'stick', 'look', 'crazy', 'good', 'yay']",[4.47]
Deanner03,"May 19, 2019 6:40PM","['slovak', 'goulash']",[]
seltzermint555,"May 20, 2019 2:00AM","['usually', 'eat', '7', 'noon', '5', '6', 'pm', 'weird', '6', 'breakfast', 'steel', 'cut', 'oat', 'dried', 'cranberry', 'coffee', '1130', 'brunch', '34', 'bagel', 'sandwich', 'egg', 'ham', 'pepper', 'jack', 'cheese', '12', 'large', 'serving', 'fried', 'potato', 'health', 'food', 'place', 'still', 'fried', 'cup', 'fresh', 'pineapple', '430', 'pm', 'snack', 'dunkin', 'cremefilled', 'donut', 'xl', 'dark', 'roast', 'iced', 'coffee', '8', 'pm', 'dinner', 'caramelized', 'onion', 'cheddar', 'quesadilla', '2', 'small', 'corn', 'tortilla', 'picante']","[2.37, 71.5, 186.26, 5.77, 113.12, 2.37, 41.36, 114.53, 159.25]"
JessAndreia,"May 20, 2019 3:30AM","['waffle', 'seitan', 'chick', 'n', 'smoothie', 'spinach', 'mango', 'orange', 'pineapple', 'flax', 'seed', 'hemp', 'protein', 'sandwich', 'vegan', 'ham', 'cheese', 'lettuce', 'chocolate', 'protein', 'shake', 'rice', 'red', 'bean', 'cabbage', 'loquat']","[218.25, 41.4, 68.6, 186.26, 113.12, 15.98, 37.45, 205.4, 224.79]"
Katmary71,"May 20, 2019 3:46AM","['breakfast', 'two', 'cup', 'coffee', 'cream', 'apple', 'lunch', 'large', 'salad', 'spring', 'green', 'parsley', 'basil', 'red', 'pepper', 'green', 'onion', 'carrot', 'cherry', 'tomato', 'snack', 'fage', '2', 'strawberry', 'dinner', 'salmon', 'broccoli', 'carrot', 'green', 'pepper']","[2.37, 94.64, 19.98, 5.77, 41.36, 16.1, 22.14, 28.8, 12.95, 16.1, 5.77]"
NewLIFEstyle4ME,"May 20, 2019 3:21PM","['breakfast', 'cup', 'coffee', 'wcream', 'lunch', '2', 'cup', 'milk', 'oolong', 'tea', '1', 'cup', 'emperor', 'puh', 'erh', 'tea', 'dinner', 'homemade', 'italian', 'sausage', 'spaghetti', 'wmozzarella', 'cheese', 'top', 'baby', 'bok', 'choy', 'water', 'drink', 'dessert', 'late', 'night', 'snack', 'cup', 'mint', 'chocolate', 'chip', 'ice', 'cream', 'bowl', 'strawberry', 'blueberry', 'blackberry']","[2.37, 124.95, 210.12, 113.12, 37.45, 148.96, 28.8, 0.78]"
seltzermint555,"May 20, 2019 4:18PM","['breakfast', 'oatmeal', 'peanut', 'butter', 'cinnamon', 'coffee', 'lunch', 'split', 'pea', 'w', 'carrot', 'onion', '1', 'oz', 'wisconsin', 'cheese', 'curd', '1', 'whole', 'apricot', 'green', 'jasmine', 'tea', 'dinner', 'large', 'baked', 'potato', 'seasoned', 'tvp', 'meat', 'onion', 'bell', 'pepper', 'salsa', 'sour', 'cream', 'broccoli', 'side', '3', 'small', 'homemade', 'chocolate', 'cooky', '1', 'cup', '1', 'milk', 'dairy', 'milk', 'rarity', 'love', 'cooky']","[5.87, 101.81, 6.42, 2.37, 16.1, 41.36, 113.12, 41.36, 5.77, 12.95, 37.45, 124.95, 124.95]"
NewLIFEstyle4ME,"May 21, 2019 5:33PM","['breakfast', '4', 'breakfast', 'link', 'sausage', '2', 'egg', 'medium', 'hard', 'grit', 'raisin', 'toast', 'wbutter', 'lunch', '2', 'cup', 'dandelion', 'root', 'tea', '1', 'cup', 'milk', 'oolong', 'tea', 'dinner', 'left', 'homemade', 'italian', 'sausage', 'spaghetti', 'wmozzarella', 'cheese', 'steamed', 'broccoli', 'cauliflower', '4', 'oz', '100', 'cherry', 'juice', 'dessert', 'andor', 'late', 'night', 'snack', 'greenblackkalamata', 'olive']","[210.12, 71.5, 124.95, 210.12, 113.12, 12.95, 132.25]"
Sunshine_And_Sand,"May 21, 2019 5:39PM","['breakfast', 'oatmeal', 'melted', 'cheddar', 'salt', 'pepper', 'texas', 'pete', 'lunch', 'homemade', 'chicken', 'salad', 'honey', 'wheat', 'tangelo', 'dinner', 'mexican', 'restaurant', 'kid', 'school', 'function']","[114.53, 0, 5.77, 187, 19.98]"
seltzermint555,"May 21, 2019 5:49PM","['breakfast', 'multigrain', 'toaster', 'waffle', 'tiny', 'bit', 'cookie', 'butter', 'sugarfree', 'syrup', '1', 'fried', 'egg', 'w', 'picante', 'coffee', 'lunch', 'morningstar', 'garden', 'veggie', 'patty', 'spicy', 'brown', 'mustard', 'pickle', 'shredded', 'lettuce', 'tomato', 'onion', 'bun', 'sweet', 'potato', 'kale', 'mix', 'dried', 'cranberry', 'balsamic', 'afternoon', 'snack', 'skinny', 'latte', 'sugarfree', 'raspberry', 'flavoring', 'dinner', 'wheat', 'farfalle', 'pasta', 'pea', 'alfredo', 'sauce', 'made', 'almond', 'milk', 'blended', 'cauliflower', 'fresh', 'herb', 'nutritional', 'yeast']","[218.25, 147.6, 101.81, 219.95, 71.5, 2.37, 15.98, 22.14, 41.36, 36.4, 1.04, 195.92, 124.95, 132.25]"
