user,date,post,Calories
seltzermint555,"April 6, 2019 3:25AM","['breakfast', 'oatmeal', 'peanut', 'butter', 'raspberry', 'jam', 'coffee', 'lunch', 'large', 'baked', 'potato', 'seasoned', 'tvp', 'sauteed', 'onion', 'red', 'pepper', 'broccoli', 'sour', 'cream', 'dinner', 'panseared', 'tofu', 'bbq', 'sauce', 'homemade', 'pasta', 'salad', 'onion', 'black', 'olive', 'kale', 'argula', 'later', '3', 'cotton', 'candy', 'flavored', 'peep', '14', 'burger', 'king', 'chicken', 'sandwich']","[12.95, 101.81, 187, 2.37, 55.6, 36.4, 41.36, 195.92, 5.87, 5.77, 1.04, 19.98]"
JennJ323,"April 8, 2019 7:21PM","['breakfast', 'toasted', 'coconut', 'vanilla', 'greek', 'yogurt', 'lunch', 'homemade', 'white', 'chicken', 'chili', 'small', 'side', 'salad', 'spring', 'mix', 'balsamic', 'vinaigrette', 'afternoon', 'snack', 'fiber', 'cinnamon', 'coffee', 'cake', 'soft', 'baked', 'bar', 'grape', 'dinner', 'chicken', 'alfredo', 'broccoli', 'bubble', 'bake', 'le', '300c', 'per', 'serving', 'hope', 'good', 'recipe', 'want', 'http', 'emilybitescom201709bubbleupchickenalfredobakehtml', 'dinner', 'snack', 'neapolitan', 'ice', 'cream']","[12.95, 261.97, 187, 6.42, 387.6, 2.37, 33.81, 19.98, 12.1]"
rainingribbons,"April 8, 2019 11:41PM","['breakfast', 'coffee', 'creamer', 'homemade', 'breakfast', 'sammich', 'lunch', 'pulled', 'pork', 'sammich', 'roasted', 'broccoli', 'snack', '2', 'cutie', 'halo', 'dinner', 'shrimp', 'feta', 'tomato', 'bake', 'parmesan', 'couscous', '1', 'sopporo']","[12.95, 2.37, 202.3, 22.14]"
soliver1999,"April 9, 2019 12:01AM","['breakfast', '8oz', 'bottle', 'water', '10', 'oz', 'cup', 'coffee', '18', 'cup', 'cream', '4', 'splendas', '3', 'piece', 'bacon', '2', 'egg', 'cheese', 'milk', 'make', 'fluffy', 'snack', 'whisps', 'moon', 'cheese', '8', 'oz', 'bottle', 'water', 'lunch', 'sometimes', '8oz', 'bottle', 'water', 'grilled', 'chicken', 'nugget', 'chick', 'fil', 'cob', 'salad', 'grilled', 'nugget', 'already', 'yes', '2', 'portion', 'chicken', '1', 'packet', 'ranch', 'salad', 'dressing', 'dinner', '8oz', 'bottle', 'water', '4', 'oz', 'grilled', 'steak', 'chicken', '14', 'avocado', '1', 'tbsp', 'sour', 'cream', '1', 'tsp', 'salasa', '14', 'cup', 'shredded', 'mexican', 'cheese', 'heat', 'mix', 'together', 'snack', 'glass', 'milk', '4oz', 'fatsnax', 'cookie', 'peanut', 'butter', 'right', 'bed', '8oz', 'bottle', 'water']","[321.6, 161.46, 101.81, 113.12, 187, 2.37, 147.6, 71.5, 124.95, 5.87, 19.98]"
seltzermint555,"April 9, 2019 2:08PM","['breakfast', 'coffee', 'acai', 'bowl', 'strawberry', 'banana', 'coconut', 'flake', 'granola', 'blueberry', 'lunch', 'spinach', 'quesadilla', 'onion', 'pepper', 'topped', 'salsa', 'sour', 'cream', 'dinner', 'chickpea', 'veggie', 'curry', 'brown', 'rice']","[105.02, 0.78, 387.6, 2.37, 41.36, 5.77, 205.4, 41.4, 28.8]"
seltzermint555,"April 9, 2019 2:08PM","['soliver1999', 'wrote', 'breakfast', '8oz', 'bottle', 'water', '10', 'oz', 'cup', 'coffee', '18', 'cup', 'cream', '4', 'splendas', '3', 'piece', 'bacon', '2', 'egg', 'cheese', 'milk', 'make', 'fluffy', 'snack', 'whisps', 'moon', 'cheese', '8', 'oz', 'bottle', 'water', 'lunch', 'sometimes', '8oz', 'bottle', 'water', 'grilled', 'chicken', 'nugget', 'chick', 'fil', 'cob', 'salad', 'grilled', 'nugget', 'already', 'yes', '2', 'portion', 'chicken', '1', 'packet', 'ranch', 'salad', 'dressing', 'dinner', '8oz', 'bottle', 'water', '4', 'oz', 'grilled', 'steak', 'chicken', '14', 'avocado', '1', 'tbsp', 'sour', 'cream', '1', 'tsp', 'salasa', '14', 'cup', 'shredded', 'mexican', 'cheese', 'heat', 'mix', 'together', 'snack', 'glass', 'milk', '4oz', 'fatsnax', 'cookie', 'peanut', 'butter', 'right', 'bed', '8oz', 'bottle', 'water', 'dang', 'bet', 'chickfila', 'order', 'pricey', 'got', 'grilled', 'nugget', 'fruit', 'bowl', 'year', 'ago', 'major', 'sticker', 'shock', 'returned']","[321.6, 161.46, 101.81, 113.12, 187, 2.37, 147.6, 71.5, 124.95, 5.87, 19.98]"
rainingribbons,"April 15, 2019 9:30PM","['breakfast', 'coffee', 'creamer', 'mocha', 'chocolate', 'chip', 'protein', 'bar', 'lunch', 'leftover', 'shrimp', 'dill', 'sauce', 'mixed', 'rice', 'going', 'german', 'restaurant', 'last', 'night', 'snack', '2', 'small', 'halo', 'cuties', 'dinner', 'lemon', 'chicken', 'rice', 'side', 'baked', 'parmesan', 'zucchini', 'dessert', 'either', 'oreo', 'ice', 'cream', 'nt', 'decided', 'yet']","[187, 148.96, 37.45, 2.37, 205.4]"
seltzermint555,"May 3, 2019 12:42AM","['breakfast', 'oatmeal', 'peanut', 'butter', 'blueberry', 'lemon', 'jam', 'coffee', 'lunch', 'small', 'hoagie', 'roll', 'mayo', 'mustard', 'pickle', 'onion', 'morningstar', 'griller', 'patty', '3', 'dolmas', '12', 'pear', 'dinner', 'refried', 'bean', 'green', 'chile', 'sliced', 'red', 'pepper', 'cheese', 'sour', 'cream', 'shredded', 'lettuce', '1', 'homemade', 'tortilla', 'side', 'diet', 'root', 'beer', 'dessert', 'english', 'toffee', 'ice', 'cream', 'bar']","[224.79, 153.08, 0.78, 101.81, 113.12, 2.37, 55.6, 15.98, 41.36, 5.87, 5.77, 159.25]"
PAPYRUS3,"May 3, 2019 1:34AM","['ljkn1ght', 'wrote', 'discovered', 'dried', 'fig', 'go', 'great', 'black', 'coffee', 'normally', 'eat', 'date', 'coffee', 'shop', 'run', 'thought', 'would', 'try', 'fig', 'insteadboom', 'taste', 'sensation', 'love', 'cafe', 'already', 'would', 'love', 'eating', 'fig', 'date', 'coffee', 'brilliancy', 'three', 'favorite', 'thing', 'cafe']","[2.37, 37]"
ashleyohsnap,"May 3, 2019 1:58AM","['burnt', 'sweet', 'potato', 'fry', 'air', 'fryer', 'got', 'distracted', 'saved', 'enough', 'calorie', 'eat', 'little', 'tub', 'chilly', 'cow', 'win']",[]
